"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"T107.PL2.rpoB" "T107" "SBL-01-10-A" "SBL" "1" "10" "Abies_balsamea" "A" "43271" "JBL" "43272" "Phosphate" "2" "2" "37" "SBL-43272-2" "Batch_05" "T107.PL2.rpoB" "PL_02" "rpoB-PL2" "S515" "N723"
"T117.PL2.rpoB" "T117" "MSH-01-02-C" "MSH" "1" "2" "Fagus_grandifolia" "C" "43318" "JBL" "43320" "Phosphate" "4" "12" "72" "MSH-43320-4" "Batch_05" "T117.PL2.rpoB" "PL_02" "rpoB-PL2" "S518" "N723"
"T120.PL2.rpoB" "T220" "MSH-06-04-G" "MSH" "6" "4" "Fagus_grandifolia" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "1" "14" "10" "MSH-43392-1" "Batch_10" "T220.PL2.rpoB" "PL_02" "rpoB-PL2" "S517" "N727"
"T123.PL2.rpoB" "T214" "MSH-01-04-F" "MSH" "1" "4" "Acer_saccharum" "F" "43350" "JBL" "43351" "Phosphate" "3" "10" "66" "MSH-43351-3" "Batch_09" "T214.PL2.rpoB" "PL_02" "rpoB-PL2" "S521" "N728"
"T124.PL2.rpoB" "T15" "SBL-01-02-E" "SBL" "1" "2" "Fagus_grandifolia" "E" "43328" "JBL" "43329" "Phosphate" "2" "6" "33" "SBL-43329-2" "Batch_01a" "T15.PL2.rpoB" "PL_02" "rpoB-PL2" "S522" "N729"
"T127.PL2.rpoB" "T54" "SBL-03-03-C" "SBL" "3" "3" "Abies_balsamea" "C" "43297" "Emilie" "43300" "Phosphate" "4" "4" "65" "SBL-43300-4" "Batch_02" "T54.PL2.rpoB" "PL_05" "rpoB-PL2" "S520" "N724"
"T133.PL2.rpoB" "T133" "MSH-04-04-G" "MSH" "4" "4" "Ostria_virginiana" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "2" "14" "44" "MSH-43392-2" "Batch_06" "T133.PL2.rpoB" "PL_02" "rpoB-PL2" "S513" "N729"
"T141.PL2.rpoB" "T141" "MSH-04-05-G" "MSH" "4" "5" "Querbus_rubra" "G" "43391" "JBL&Emilie" "43392" "Phosphate" "3" "14" "71" "MSH-43392-3" "Batch_06" "T141.PL2.rpoB" "PL_02" "rpoB-PL2" "S521" "N723"
"T143.PL2.rpoB" "T143" "MSH-03-03-E" "MSH" "3" "3" "Acer_saccharum" "E" "43350" "JBL" "43351" "Phosphate" "4" "10" "78" "MSH-43351-4" "Batch_06" "T143.PL2.rpoB" "PL_02" "rpoB-PL2" "S513" "N726"
"T146.PL2.rpoB" "T146" "SBL-03-07-E" "SBL" "3" "7" "Acer_saccharum" "E" "43328" "JBL" "43329" "Phosphate" "1" "6" "06" "SBL-43329-1" "Batch_07" "T146.PL2.rpoB" "PL_02" "rpoB-PL2" "S517" "N729"
"T150.PL2.rpoB" "T123" "MSH-04-06-E" "MSH" "4" "6" "Querbus_rubra" "E" "43350" "JBL" "43351" "Phosphate" "1" "10" "11" "MSH-43351-1" "Batch_06" "T123.PL2.rpoB" "PL_05" "rpoB-PL2" "S516" "N728"
