"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
175.9921875 186 165.984375 486 156 485 157
169.49609375 175.9921875 163 485 157 461 184
353.5 354 353 625 157 622 212
6.9395751953125 10.722900390625 3.15625 379 157 399 170
38.75 39.5 38 647 162 646 171
337.5 338 337 607 164 605 165
245.5 246 245 525 165 524 166
336.5 337.5 335.5 605 165 604 166
335.25 336.5 334 604 166 594 167
246.875 248.25 245.5 524 166 504 167
339.5 340 339 608 167 593 168
235.641015625 246.875 224.40703125 504 167 407 223
332.484375 335.25 329.71875 594 167 593 168
335.9921875 339.5 332.484375 593 168 592 169
313.5 314 313 584 169 582 228
329.49609375 335.9921875 323 592 169 591 170
325.748046875 329.49609375 322 591 170 590 171
362.5 363 362 632 170 631 224
19.3447875976562 31.75 6.9395751953125 399 170 400 175
37.875 38.75 37 646 171 401 187
323.3740234375 325.748046875 321 590 171 589 176
305.75 306.5 305 578 173 577 174
304.875 305.75 304 577 174 576 175
42.5 43 42 645 175 644 189
303.9375 304.875 303 576 175 567 176
27.0473937988281 34.75 19.3447875976562 400 175 401 187
321.68701171875 323.3740234375 320 589 176 588 208
301.08984375 303.9375 298.2421875 567 176 529 227
357.875 358.75 357 627 177 620 222
283.3296875 287.9375 278.721875 548 179 547 195
160.85224609375 169.49609375 152.2083984375 461 184 460 185
145.926123046875 160.85224609375 131 460 185 449 197
315.5 316 315 642 185 641 246
194.1875 196.5 191.875 497 187 408 206
32.461196899414 37.875 27.0473937988281 401 187 402 190
41.75 42.5 41 644 189 402 190
37.105598449707 41.75 32.461196899414 402 190 403 191
19.0527992248535 37.105598449707 1 403 191 404 279
257 259.875 254.125 534 192 533 201
292.5 293 292 566 194 547 195
287.91484375 292.5 283.3296875 547 195 530 226
121.203125 125 117.40625 450 196 449 197
133.564624023437 145.926123046875 121.203125 449 197 448 199
161.532312011718 189.5 133.564624023437 448 199 409 205
254.5 257 252 533 201 532 224
311.5 312 311 583 201 582 228
106.615878408926 161.532312011718 51.6994448061343 409 205 408 206
309.5 310 309 581 206 580 227
150.401689204463 194.1875 106.615878408926 408 206 407 223
341.75 342.5 341 609 207 588 208
331.718505859375 341.75 321.68701171875 588 208 587 209
325.359252929688 331.718505859375 319 587 209 586 286
350.75 351.5 350 623 210 622 212
352.125 353.5 350.75 622 212 621 221
364.5 365 364 633 219 631 224
353.8125 355.5 352.125 621 221 620 222
355.84375 357.875 353.8125 620 222 618 223
263.75 264.5 263 543 223 532 224
352.171875 355.84375 348.5 618 223 617 229
193.021352414731 235.641015625 150.401689204463 407 223 406 229
363.5 364.5 362.5 631 224 630 225
259.125 263.75 254.5 532 224 531 225
362.25 363.5 361 630 225 617 229
262.9375 266.75 259.125 531 225 530 226
275.426171875 287.91484375 262.9375 530 226 529 227
308.75 309.5 308 580 227 528 228
288.2580078125 301.08984375 275.426171875 529 227 528 228
312.5 313.5 311.5 582 228 405 271
298.50400390625 308.75 288.2580078125 528 228 406 229
357.2109375 362.25 352.171875 617 229 616 270
245.762678160491 298.50400390625 193.021352414731 406 229 405 271
372.5 373 372 639 240 615 275
317.5 318 317 643 245 641 246
316.5 317.5 315.5 641 246 585 281
369.5 370.5 368.5 636 264 634 269
366.5 367 366 635 268 634 269
368 369.5 366.5 634 269 616 270
362.60546875 368 357.2109375 616 270 615 275
279.131339080245 312.5 245.762678160491 405 271 404 279
367.552734375 372.5 362.60546875 615 275 614 277
357.2763671875 367.552734375 347 614 277 613 306
149.092069152549 279.131339080245 19.0527992248535 404 279 585 281
232.796034576275 316.5 149.092069152549 585 281 586 286
279.077643752981 325.359252929688 232.796034576275 586 286 376 307
374.5 375 374 640 305 613 306
365.88818359375 374.5 357.2763671875 613 306 376 307
