"test" "ass." "obs" "exp" "p.obs>exp"
"277" "temp" "20_node.525" "2" "0.6±0.65" "1"
"278" "temp" "30_node.525" "0" "1.4±0.65" "1"
"279" "temp" "20_node.526" "1" "0.6±0.49" "1"
"280" "temp" "30_node.526" "0" "0.4±0.49" "1"
"281" "temp" "20_node.533" "1" "0.43±0.5" "1"
"282" "temp" "30_node.533" "0" "0.57±0.5" "1"
"283" "temp" "20_node.540" "1" "0.35±0.48" "1"
"284" "temp" "30_node.540" "0" "0.65±0.48" "1"
"285" "temp" "20_node.541" "1" "0.6±0.49" "1"
"286" "temp" "30_node.541" "0" "0.4±0.49" "1"
"287" "temp" "20_node.551" "0" "0.25±0.43" "1"
"288" "temp" "30_node.551" "1" "0.75±0.43" "1"
"289" "temp" "20_node.552" "1" "0.43±0.5" "1"
"290" "temp" "30_node.552" "0" "0.57±0.5" "1"
"291" "temp" "20_node.553" "0" "0.85±0.65" "1"
"292" "temp" "30_node.553" "2" "1.15±0.65" "1"
"293" "temp" "20_node.556" "1" "1.8±0.81" "1"
"294" "temp" "30_node.556" "2" "1.2±0.81" "1"
"295" "temp" "20_node.558" "1" "1.63±0.83" "1"
"296" "temp" "30_node.558" "2" "1.37±0.83" "1"
"297" "temp" "20_node.559" "0" "0.43±0.5" "1"
"298" "temp" "30_node.559" "1" "0.57±0.5" "1"
"299" "temp" "20_node.560" "2" "1.21±0.67" "1"
"300" "temp" "30_node.560" "0" "0.79±0.67" "1"
"301" "temp" "20_node.566" "0" "0.5±0.6" "1"
"302" "temp" "30_node.566" "2" "1.5±0.6" "1"
"303" "temp" "20_node.569" "1" "0.25±0.43" "1"
"304" "temp" "30_node.569" "0" "0.75±0.43" "1"
"305" "temp" "20_node.572" "0" "0.43±0.5" "1"
"306" "temp" "30_node.572" "1" "0.57±0.5" "1"
"307" "temp" "20_node.575" "1" "1.2±0.68" "1"
"308" "temp" "30_node.575" "1" "0.8±0.68" "1"
"309" "temp" "20_node.576" "0" "0.25±0.43" "1"
"310" "temp" "30_node.576" "1" "0.75±0.43" "1"
"311" "temp" "20_node.580" "0" "0.25±0.43" "1"
"312" "temp" "30_node.580" "1" "0.75±0.43" "1"
