"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"306" 100 100 100 93 17 17 17
"307" 100 100 100 98 93 62 47
"308" 100 100 100 100 98 98 65
"309" 100 100 100 91 40 38 15
"310" 100 100 100 87 13 13 7
"311" 100 100 100 91 39 39 36
"312" 100 100 100 87 23 23 20
"313" 100 100 100 74 29 29 20
"314" 100 100 100 97 36 29 28
"315" 100 100 100 96 79 79 74
"316" 100 100 100 100 100 100 74
"317" 100 100 100 86 86 37 26
"318" 100 100 100 87 79 43 35
"319" 100 100 100 95 81 81 69
"320" 100 100 100 100 100 100 100
"321" 100 100 100 62 19 18 9
"322" 100 100 100 98 44 38 12
"323" 100 100 100 83 48 11 8
"324" 100 100 100 86 37 18 10
"325" 100 100 100 100 98 98 91
"326" 100 100 100 94 39 38 14
"327" 100 100 100 95 95 72 55
"328" 100 100 100 100 98 98 94
"329" 100 100 100 98 80 80 68
"330" 100 100 100 65 61 1 1
"331" 100 100 100 99 93 93 91
"332" 100 100 100 100 77 75 28
"333" 100 100 100 100 100 100 100
"334" 100 100 100 95 82 54 53
"335" 100 100 100 69 69 39 16
"336" 100 100 100 75 72 32 15
"337" 100 100 100 97 16 16 16
"338" 100 100 100 98 83 83 69
"339" 100 100 100 96 65 61 27
"340" 100 100 100 99 81 81 66
"341" 100 100 100 89 38 18 7
"342" 100 100 100 24 19 8 6
"343" 100 100 100 95 81 81 67
"344" 100 100 100 94 85 85 79
"345" 100 100 100 96 51 49 12
"346" 100 100 100 80 17 10 10
"347" 100 100 100 93 24 24 24
"348" 100 100 100 97 35 35 26
"349" 100 100 100 96 89 89 87
"350" 100 100 100 84 26 10 6
"351" 100 100 100 87 36 36 20
"352" 100 100 100 96 66 66 51
"353" 100 100 100 80 80 33 14
"354" 100 100 100 100 99 99 93
"355" 100 100 100 92 59 59 16
"356" 100 100 100 95 76 76 67
"357" 100 100 100 96 45 28 12
"358" 100 100 100 99 98 98 87
"359" 100 100 100 96 31 16 6
"360" 100 100 100 100 94 94 93
"361" 100 100 100 87 48 48 18
"362" 100 100 100 100 100 100 99
"363" 100 100 100 100 100 100 98
"364" 100 100 100 67 30 28 10
"365" 100 100 100 78 14 10 7
"366" 100 100 100 87 67 67 37
"367" 100 100 100 89 69 50 48
"368" 100 100 100 100 100 100 81
"369" 100 100 100 98 93 88 17
"370" 100 100 100 99 30 29 10
"371" 100 100 100 100 100 100 94
"372" 100 100 100 81 57 27 27
"373" 100 100 100 100 100 100 99
"374" 100 100 100 83 78 58 14
"375" 100 100 100 100 100 100 91
"376" 100 100 100 81 15 9 5
"377" 100 100 100 70 46 22 14
"378" 100 100 100 85 80 29 18
"379" 100 100 100 100 100 100 97
"380" 100 100 100 64 16 11 2
"381" 100 100 100 100 100 100 100
"382" 100 100 100 100 100 100 100
"383" 100 100 100 91 87 25 7
"384" 100 100 100 98 77 72 5
"385" 100 100 100 89 22 16 8
"386" 100 100 100 88 36 36 29
"387" 100 100 100 100 78 76 29
"388" 100 100 100 100 100 100 100
"389" 100 100 100 100 100 100 95
"390" 100 100 100 100 100 100 100
"391" 100 100 100 96 61 61 57
"392" 100 100 100 94 84 84 79
"393" 100 100 100 89 15 13 7
"394" 100 100 100 92 89 52 21
"395" 100 100 100 76 24 14 8
"396" 100 100 100 100 86 86 86
"397" 100 100 100 92 60 60 59
"398" 100 100 100 86 86 47 35
"399" 100 100 100 91 91 60 37
"400" 100 100 100 96 78 78 73
"401" 100 100 100 100 100 100 79
"402" 100 100 100 92 84 84 81
"403" 100 100 100 99 87 87 33
"404" 100 100 100 84 34 27 17
"405" 100 100 100 82 23 19 8
"406" 100 100 100 100 99 97 62
"407" 100 100 100 100 87 87 74
"408" 100 100 100 74 70 29 9
"409" 100 100 100 82 26 20 11
"410" 100 100 100 79 26 15 13
"411" 100 100 100 92 34 34 33
"412" 100 100 100 98 87 87 82
"413" 100 100 100 95 22 22 22
"414" 100 100 100 96 80 77 55
"415" 100 100 100 96 86 86 57
"416" 100 100 100 99 81 81 29
"417" 100 100 100 95 56 56 16
"418" 100 100 100 99 90 90 80
"419" 100 100 100 92 92 49 25
"420" 100 100 100 90 64 64 61
"421" 100 100 100 92 91 90 57
"422" 100 100 100 98 74 74 34
"423" 100 100 100 72 72 32 17
"424" 100 100 100 100 100 100 100
"425" 100 100 100 100 89 89 30
"426" 100 100 100 98 70 69 26
"427" 100 100 100 100 100 100 58
"428" 100 100 100 85 27 17 17
"429" 100 100 100 92 68 68 63
"430" 100 100 100 95 72 72 40
"431" 100 100 100 100 91 91 89
"432" 100 100 100 100 80 76 31
"433" 100 100 100 77 23 23 20
"434" 100 100 100 88 80 80 74
"435" 100 100 100 96 85 79 18
"436" 100 100 100 91 63 63 59
"437" 100 100 100 99 90 90 87
"438" 100 100 100 85 46 46 22
"439" 100 100 100 78 49 13 13
"440" 100 100 100 85 68 68 60
