"Kingdom" "Phyllum" "Class" "Order" "Family" "Genus" "Species"
"111" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"112" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"113" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"114" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"115" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"116" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"117" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"118" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA NA
"119" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"120" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_ramalinae"
"121" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"122" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A1"
"123" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" NA
"124" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"125" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-B"
"126" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"127" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"128" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"129" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"130" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_ramalinae"
"131" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"132" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A1"
"133" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A1"
"134" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"135" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"136" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"137" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"138" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"139" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"140" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" NA
"141" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A5"
"142" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"143" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"144" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"145" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"146" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" NA
"147" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"148" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"149" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"150" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"151" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"152" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"153" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"154" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"155" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"156" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"157" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"158" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"159" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"160" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" NA
"161" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"162" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"163" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"164" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"165" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"166" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"167" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A10"
"168" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"169" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"170" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"171" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"172" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"173" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"174" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"175" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"176" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" NA NA
"177" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"178" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"179" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" NA
"180" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"181" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"182" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A9"
"183" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"184" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"185" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"186" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"187" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"188" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "RHgroup" NA
"189" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"190" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_ramalinae"
"191" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A1"
"192" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"193" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"194" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Brevundimonas" NA
"195" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA NA
"196" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"197" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"198" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Tardiphaga" NA
"199" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" NA NA
"200" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"201" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"202" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"203" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" NA NA
"204" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "Methylobacterium-clade-A6"
"205" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"206" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
"207" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Lichenibacteriaceae" "Lichenibacterium" "Lichenibacterium_minor"
