"mean_seq" "max_seq" "min_seq" "seq_or_node" "level" "mother_node" "mother_level"
77.5 78 77 575 99 570 100
83.75 84.5 83 580 99 579 108
91.341552734375 92.68310546875 90 586 99 582 103
157.75 158.5 157 652 99 651 231
346.96875 347.9375 346 838 99 837 100
441.96875 442.9375 441 932 99 930 119
481.5 482 481 972 99 968 210
490.5 491 490 980 99 979 100
209.125 210.5 207.75 702 99 701 156
134.95263671875 140.6357421875 129.26953125 619 99 618 100
128.976318359375 134.95263671875 123 618 100 617 101
323.5 324 323 817 100 816 101
345.984375 346.96875 345 837 100 834 123
419.875 420.75 419 916 100 915 101
489.75 490.5 489 979 100 978 108
75.21875 77.5 72.9375 570 100 569 101
73.109375 75.21875 71 569 101 568 102
125.488159179688 128.976318359375 122 617 101 609 156
421.6875 423.5 419.875 915 101 914 108
237.99609375 240.7421875 235.25 728 101 724 111
324.625 325.75 323.5 816 101 815 102
71.5546875 73.109375 70 568 102 567 115
323.3125 324.625 322 815 102 813 103
81.5 82 81 578 103 577 104
302.5 303 302 797 103 796 104
321.90625 323.3125 320.5 813 103 810 104
89.4207763671875 91.341552734375 87.5 582 103 579 108
80.75 81.5 80 577 104 576 105
301.75 302.5 301 796 104 789 166
319.828125 321.90625 317.75 810 104 806 119
79.875 80.75 79 576 105 567 115
171.875 172.75 171 671 106 664 144
425.5 426 425 920 107 914 108
165.75 166.5 165 667 108 666 126
201.25 202.5 200 695 108 693 149
434.75 435.5 434 926 108 925 136
488.875 489.75 488 978 108 977 114
86.5853881835938 89.4207763671875 83.75 579 108 566 136
423.59375 425.5 421.6875 914 108 913 115
234.435546875 237.99609375 230.875 724 111 723 112
231.7177734375 234.435546875 229 723 112 718 113
228.92138671875 231.7177734375 226.125 718 113 714 114
61.5 62 61 560 114 559 115
112.5 113 112 608 114 607 115
271.5 272 271 771 114 766 115
484.5 485 484 975 114 974 115
487.9375 488.875 487 977 114 976 115
225.210693359375 228.92138671875 221.5 714 114 709 115
60.75 61.5 60 559 115 558 116
111.75 112.5 111 607 115 606 166
420.796875 423.59375 418 913 115 912 123
430.75 431.5 430 923 115 922 130
439.5 440 439 931 115 930 119
483.75 484.5 483 974 115 973 136
486.96875 487.9375 486 976 115 973 136
269.21875 271.5 266.9375 766 115 765 173
220.574096679688 225.210693359375 215.9375 709 115 706 155
75.71484375 79.875 71.5546875 567 115 566 136
59.875 60.75 59 558 116 557 117
58.9375 59.875 58 557 117 556 123
8.583984375 13.171875 3.99609375 504 119 503 132
316.8515625 319.828125 313.875 806 119 805 120
440.734375 441.96875 439.5 930 119 929 229
314.42578125 316.8515625 312 805 120 804 121
312.712890625 314.42578125 311 804 121 803 122
339.5 340 339 832 121 830 122
371.6875 373.625 369.75 860 121 859 123
311.3564453125 312.712890625 310 803 122 802 123
338.5 339.5 337.5 830 122 829 123
39.5 40 39 539 123 538 124
310.17822265625 311.3564453125 309 802 123 801 125
337.25 338.5 336 829 123 828 218
369.84375 371.6875 368 859 123 853 160
424.1484375 427.5 420.796875 912 123 911 143
61.21875 63.5 58.9375 556 123 555 145
344.3671875 345.984375 342.75 834 123 833 181
40.953125 42.40625 39.5 538 124 537 146
309.089111328125 310.17822265625 308 801 125 800 130
164.875 165.75 164 666 126 665 136
308.044555664062 309.089111328125 307 800 130 787 201
429.875 430.75 429 922 130 911 143
461.75 462.5 461 953 130 952 136
15.2568359375 21.9296875 8.583984375 503 132 502 181
295.0625 296.125 294 790 136 789 166
332.5 333 332 825 136 822 182
433.875 434.75 433 925 136 910 166
460.875 461.75 460 952 136 951 143
166.8125 168.75 164.875 665 136 664 144
81.1501159667969 86.5853881835938 75.71484375 566 136 552 148
485.359375 486.96875 483.75 973 136 965 256
51.5 52 51 549 142 548 143
68.5 69 68 565 142 563 143
50.75 51.5 50 548 143 501 182
362.5 363 362 856 143 855 152
384.5 385 384 879 143 878 258
459.9375 460.875 459 951 143 950 160
67.5 68.5 66.5 563 143 562 144
427.01171875 429.875 424.1484375 911 143 910 166
66.25 67.5 65 562 144 555 145
169.34375 171.875 166.8125 664 144 663 186
63.734375 66.25 61.21875 555 145 554 146
39.4765625 40.953125 38 537 146 531 179
60.3671875 63.734375 57 554 146 553 147
58.18359375 60.3671875 56 553 147 552 148
188.5 189 188 684 147 683 225
69.6668548583985 81.1501159667969 58.18359375 552 148 498 186
199.875 201.25 198.5 693 149 687 190
364.5 365 364 857 150 855 152
410.5 411 410 901 152 900 153
363.5 364.5 362.5 855 152 854 153
213.5 214 213 708 153 707 154
409.75 410.5 409 900 153 899 202
365 366.5 363.5 854 153 853 160
119.75 120.5 119 615 154 610 155
212.75 213.5 212 707 154 706 155
117.34375 119.75 114.9375 610 155 609 156
216.662048339844 220.574096679688 212.75 706 155 701 156
212.893524169922 216.662048339844 209.125 701 156 699 157
121.415954589844 125.488159179688 117.34375 609 156 605 167
209.196762084961 212.893524169922 205.5 699 157 658 228
160.5 161 160 656 160 655 216
458.96875 459.9375 458 950 160 949 309
367.421875 369.84375 365 853 160 850 184
477.875 478.75 477 969 163 968 210
110.875 111.75 110 606 166 605 167
298.40625 301.75 295.0625 789 166 788 178
430.443359375 433.875 427.01171875 910 166 909 176
116.145477294922 121.415954589844 110.875 605 167 604 168
112.572738647461 116.145477294922 109 604 168 603 169
110.28636932373 112.572738647461 108 603 169 497 214
292.5 293 292 786 172 758 210
271.484375 273.75 269.21875 765 173 764 174
274.1171875 276.75 271.484375 764 174 763 176
269.55859375 274.1171875 265 763 176 762 182
423.7216796875 430.443359375 417 909 176 908 289
360.5 361 360 852 178 851 183
34.6875 36.5 32.875 532 178 531 179
301.578125 304.75 298.40625 788 178 787 201
330.5 331 330 824 179 823 180
37.08203125 39.4765625 34.6875 531 179 529 180
329.75 330.5 329 823 180 822 182
33.791015625 37.08203125 30.5 529 180 502 181
342.68359375 344.3671875 341 833 181 828 218
24.52392578125 33.791015625 15.2568359375 502 181 501 182
180.5 181 180 678 182 662 197
182.5 183 182 680 182 679 191
274.748046875 279.9375 269.55859375 762 182 761 200
331.125 332.5 329.75 822 182 821 196
