"log(Level)" "Level" "(-log10(1.005-PS))" "PS"
6.157 472 0.5463 0.7208
6.1591 473 0.5446 0.7196
6.1612 474 0.5429 0.7185
6.1633 475 0.5411 0.7173
6.1654 476 0.5394 0.7162
6.1675 477 0.5377 0.715
6.1696 478 0.5359 0.7139
6.1717 479 0.5342 0.7127
6.1738 480 0.5325 0.7116
6.1759 481 0.5308 0.7104
6.1779 482 0.5291 0.7092
6.18 483 0.5274 0.7081
6.1821 484 0.5257 0.7069
6.1841 485 0.524 0.7057
6.1862 486 0.5223 0.7046
6.1883 487 0.5206 0.7034
6.1903 488 0.5189 0.7022
6.1924 489 0.5172 0.7011
6.1944 490 0.5155 0.6999
6.1964 491 0.5138 0.6987
6.1985 492 0.5122 0.6975
6.2005 493 0.5105 0.6963
6.2025 494 0.5088 0.6951
6.2046 495 0.5072 0.6939
6.2066 496 0.5055 0.6927
6.2086 497 0.5038 0.6916
6.2106 498 0.5022 0.6904
6.2126 499 0.5005 0.6892
6.2146 500 0.4989 0.688
6.2166 501 0.4972 0.6867
6.2186 502 0.4956 0.6855
6.2206 503 0.4939 0.6843
6.2226 504 0.4923 0.6831
6.2246 505 0.4907 0.6819
6.2265 506 0.4891 0.6807
6.2285 507 0.4874 0.6795
6.2305 508 0.4858 0.6783
6.2324 509 0.4842 0.677
6.2344 510 0.4826 0.6758
6.2364 511 0.481 0.6746
6.2383 512 0.4793 0.6734
6.2403 513 0.4777 0.6721
6.2422 514 0.4761 0.6709
6.2442 515 0.4745 0.6697
6.2461 516 0.4729 0.6684
6.248 517 0.4713 0.6672
6.25 518 0.4697 0.666
6.2519 519 0.4682 0.6647
6.2538 520 0.4666 0.6635
6.2558 521 0.465 0.6622
6.2577 522 0.4634 0.661
6.2596 523 0.4618 0.6597
6.2615 524 0.4603 0.6585
6.2634 525 0.4587 0.6572
6.2653 526 0.4571 0.656
6.2672 527 0.4556 0.6547
6.2691 528 0.454 0.6534
6.271 529 0.4524 0.6522
6.2729 530 0.4509 0.6509
6.2748 531 0.4493 0.6496
6.2766 532 0.4478 0.6484
6.2785 533 0.4462 0.6471
6.2804 534 0.4447 0.6458
6.2823 535 0.4431 0.6445
6.2841 536 0.4416 0.6433
6.286 537 0.4401 0.642
6.2879 538 0.4385 0.6407
6.2897 539 0.437 0.6394
6.2916 540 0.4355 0.6381
6.2934 541 0.434 0.6368
6.2953 542 0.4324 0.6355
6.2971 543 0.4309 0.6343
6.2989 544 0.4294 0.633
6.3008 545 0.4279 0.6317
6.3026 546 0.4264 0.6304
6.3044 547 0.4249 0.6291
6.3063 548 0.4234 0.6278
6.3081 549 0.4219 0.6264
6.3099 550 0.4204 0.6251
6.3117 551 0.4189 0.6238
6.3135 552 0.4174 0.6225
6.3154 553 0.4159 0.6212
6.3172 554 0.4144 0.6199
6.319 555 0.4129 0.6186
6.3208 556 0.4114 0.6172
6.3226 557 0.41 0.6159
6.3244 558 0.4085 0.6146
6.3261 559 0.407 0.6133
6.3279 560 0.4055 0.6119
6.3297 561 0.4041 0.6106
6.3315 562 0.4026 0.6093
6.3333 563 0.4011 0.6079
6.3351 564 0.3997 0.6066
6.3368 565 0.3982 0.6053
6.3386 566 0.3968 0.6039
6.3404 567 0.3953 0.6026
6.3421 568 0.3939 0.6012
6.3439 569 0.3924 0.5999
6.3456 570 0.391 0.5985
6.3474 571 0.3895 0.5972
6.3491 572 0.3881 0.5958
6.3509 573 0.3866 0.5944
6.3526 574 0.3852 0.5931
6.3544 575 0.3838 0.5917
6.3561 576 0.3823 0.5904
6.3578 577 0.3809 0.589
6.3596 578 0.3795 0.5876
6.3613 579 0.3781 0.5863
6.363 580 0.3766 0.5849
6.3648 581 0.3752 0.5835
6.3665 582 0.3738 0.5821
6.3682 583 0.3724 0.5808
6.3699 584 0.371 0.5794
6.3716 585 0.3696 0.578
6.3733 586 0.3682 0.5766
6.375 587 0.3667 0.5752
6.3767 588 0.3653 0.5738
6.3784 589 0.3639 0.5724
6.3801 590 0.3626 0.571
6.3818 591 0.3612 0.5696
6.3835 592 0.3598 0.5682
6.3852 593 0.3584 0.5668
6.3869 594 0.357 0.5654
6.3886 595 0.3556 0.564
6.3902 596 0.3542 0.5626
6.3919 597 0.3528 0.5612
6.3936 598 0.3515 0.5598
6.3953 599 0.3501 0.5584
6.3969 600 0.3487 0.557
6.3986 601 0.3473 0.5556
6.4003 602 0.346 0.5541
6.4019 603 0.3446 0.5527
6.4036 604 0.3432 0.5513
6.4052 605 0.3419 0.5499
6.4069 606 0.3405 0.5485
6.4085 607 0.3392 0.547
6.4102 608 0.3378 0.5456
6.4118 609 0.3364 0.5442
6.4135 610 0.3351 0.5427
6.4151 611 0.3337 0.5413
6.4167 612 0.3324 0.5398
6.4184 613 0.3311 0.5384
6.42 614 0.3297 0.537
6.4216 615 0.3284 0.5355
6.4232 616 0.327 0.5341
6.4249 617 0.3257 0.5326
6.4265 618 0.3244 0.5312
6.4281 619 0.323 0.5297
6.4297 620 0.3217 0.5282
6.4313 621 0.3204 0.5268
6.4329 622 0.319 0.5253
6.4345 623 0.3177 0.5239
6.4362 624 0.3164 0.5224
6.4378 625 0.3151 0.5209
6.4394 626 0.3138 0.5195
6.4409 627 0.3125 0.518
6.4425 628 0.3111 0.5165
6.4441 629 0.3098 0.515
6.4457 630 0.3085 0.5136
6.4473 631 0.3072 0.5121
6.4489 632 0.3059 0.5106
6.4505 633 0.3046 0.5091
6.452 634 0.3033 0.5076
6.4536 635 0.302 0.5061
6.4552 636 0.3007 0.5046
