"Level" "node" "mother_node" "sequences" "PS_median" "PS_max" "PS_min" "bootstrapp"
58 865 863 3 1 1 1 0.915
196 894 893 2 0.95068 0.95068 0.95068 0.62
56 896 895 2 1 1 1 1
240 897 895 6 0.92466 1 0.90411 0.275
123 912 911 11 0.98293 0.99756 0.97317 0.405
130 922 911 4 0.98049 0.99756 0.96098 0.355
108 926 925 3 0.9878 0.99512 0.98293 0.58
115 931 930 2 0.98537 0.98537 0.98537 1
99 932 930 6 0.99024 0.99756 0.98049 1
130 953 952 3 0.98049 0.99756 0.97805 0.425
90 960 959 2 0.99268 0.99268 0.99268 1
267 961 959 2 0.90732 0.90732 0.90732 0.86
214 967 966 7 0.94146 0.99756 0.9122 0.53
115 974 973 3 0.98537 0.99024 0.98049 0.735
115 976 973 6 0.98537 0.99756 0.97805 0.93
181 502 501 47 0.9561 1 0.93171 0.005
143 548 501 3 0.97561 0.98082 0.97317 0.125
90 551 550 2 0.99268 0.99268 0.99268 0.75
145 555 554 12 0.98049 0.99512 0.9561 0
102 568 567 9 0.99024 1 0.97534 0.905
105 576 567 4 0.991095 0.99863 0.98356 0.49
99 580 579 3 0.99024 0.99268 0.9878 0.915
103 582 579 22 0.9891 1 0.97561 0.305
115 607 606 3 0.98537 0.99024 0.98537 0.985
155 610 609 8 0.97805 1 0.9564 0.76
101 617 609 35 0.99024 1 0.9439 0.09
225 661 660 23 0.93425 1 0.89756 0.095
225 683 660 3 0.93288 0.97397 0.93288 0.295
80 686 685 2 0.99512 0.99512 0.99512 0.625
190 687 685 13 0.951635 1 0.92431 0.465
99 702 701 5 0.99452 1 0.99041 0.995
155 706 701 36 0.98537 1 0.92927 0.075
182 762 761 19 0.95854 0.99756 0.93659 0.59
90 780 761 6 0.99268 0.99756 0.9561 0.78
79 791 790 6 0.99589 1 0.96575 0.305
103 797 796 2 0.98904 0.98904 0.98904 0.395
122 803 802 18 0.98493 1 0.96341 0.085
95 840 839 4 0.99146 0.99756 0.9878 0.03
143 856 855 2 0.97534 0.97534 0.97534 0.43
150 857 855 2 0.9726 0.9726 0.9726 0.49
88 861 860 3 0.99315 0.99452 0.99041 0.92
83 863 860 5 0.99452 1 0.99452 0.985
