"CLx" "strain" "T1" "T2" "day" "Petri" "spot" "X_position" "Y_position" "radius" "av_intensity" "sd_intensity" "av_intensity_back" "sd_intensity_back" "filter"
"75" "A9" "J-019" "20" "20" "7" "P02" " 5" "120" "325" "15.0000" " 5.80667137" "3.468696" "-0.50468262" " 3.388839" "1"
"76" "A9" "E-009" "20" "20" "7" "P02" " 7" "189" "105" "17.0000" " 2.82519423" "3.208466" "-0.50448227" " 3.062465" "1"
"77" "A9" "E-024" "20" "20" "7" "P02" " 9" "185" "212" "15.6087" " 0.38429698" "2.934956" "-0.50321245" " 3.326154" "1"
"78" "A6" "E-040" "20" "20" "7" "P02" "11" "184" "332" "15.6087" " 0.83633377" "2.686013" "-0.69556419" " 2.773441" "1"
"79" "A9" "E-012" "20" "20" "7" "P02" "13" "245" "105" "17.0000" " 4.81567148" "3.460549" "-0.40891489" " 2.757544" "1"
"80" "A9" "E-027" "20" "20" "7" "P02" "15" "243" "219" "16.0000" " 3.25339844" "4.292708" "-0.90951436" " 2.641862" "1"
"81" "A2" "E-045" "20" "20" "7" "P02" "17" "241" "332" "15.0000" "15.92605078" "5.964924" " 1.33809429" " 8.087698" "1"
"82" "A9" "J-077" "20" "20" "7" "P02" "19" "305" "105" "17.0000" " 6.50121923" "5.561013" "-0.34104255" " 2.689510" "1"
"83" "A9" "J-088" "20" "20" "7" "P02" "21" "298" "221" "15.6087" " 1.45465021" "3.714355" "-0.54742571" " 4.005066" "1"
"84" "Neg" "0" "20" "20" "7" "P02" "23" "294" "329" "15.6087" "-0.08190539" "2.249546" "-0.06927365" " 2.435135" "1"
"85" "A9" "J-030" "20" "20" "7" "P02" "25" "371" "109" "15.6087" " 1.26668857" "2.937190" "-0.04455391" " 3.897947" "0"
"86" "A9" "J-048" "20" "20" "7" "P02" "27" "369" "214" "13.0000" " 4.36897921" "3.516367" " 0.65431078" " 3.956731" "0"
"87" "A9" "J-064" "20" "20" "7" "P02" "29" "363" "328" "15.0000" " 1.77403385" "2.978753" "-0.55601262" " 3.299809" "0"
"88" "A6" "E-063" "20" "20" "7" "P02" "31" "388" " 94" "15.6087" " 1.81098011" "5.816747" "-0.43327365" " 3.290732" "0"
"89" "A9" "J-008" "20" "20" "7" "P02" "33" "391" "212" "14.0000" " 5.06942904" "3.057930" " 0.34332046" " 3.955634" "0"
"90" "A9" "J-026" "20" "20" "7" "P02" "35" "390" "324" "17.0000" " 2.56281909" "3.517056" "-0.62385106" " 3.103660" "0"
"91" "A10" "E-061-B" "30" "20" "7" "P02" " 2" "123" "157" "15.0000" "13.45643159" "3.820115" " 0.01262948" " 4.112954" "1"
"92" "A9" "J-002" "30" "20" "7" "P02" " 4" "117" "277" "15.0000" " 8.15693935" "3.522527" "-0.15074713" " 5.005197" "1"
"93" "A9" "J-019" "30" "20" "7" "P02" " 6" "115" "380" "16.0000" " 9.05976161" "4.564730" "-1.07571135" " 3.211595" "1"
