"V1" "V2" "V3" "V4" "1" "2" "3" "4" "5" "YIELD" "RATE"
"J-057_20_20" "A9" "J-057" "20" "20" "MSH" "MSH-01" "FAGR" "30" "354" 3.93445882483429 0.0851100046810503
"J-072_20_20" "A9" "J-072" "20" "20" "SBL" "SBL-04" "FAGR" "30" "333" 18.6925225392454 0.0531047704015252
"E-002_20_20" "A9" "E-002" "20" "20" "MSH" "MSH-06" "FAGR" "30" "386" 5.67434277499859 0.089258777261862
"E-016_20_20" "A6" "E-016" "20" "20" "MSH" "MSH-01" "ACSA" "20" "314" 6.51460658369759 0.0530064742107601
"E-028_20_20" "A9" "E-028" "20" "20" "SBL" "SBL-04" "FAGR" "30" "333" 12.522628050582 0.0712451660154858
"J-085_20_20" "A9" "J-085" "20" "20" "MSH" "MSH-01" "ACSA" "30" "314" 8.83454814212697 0.0689413877556648
"E-006_20_20" "A9" "E-006" "20" "20" "SBL" "SBL-03" "ACSA" "30" "307" 10.3375834804248 0.0673090643770815
"E-022_20_20" "A9" "E-022" "20" "20" "MSH" "MSH-01" "ACSA" "30" "314" 9.65055318478577 0.0537813101342274
"E-039_20_20" "A6" "E-039" "20" "20" "SBL" "SBL-02" "ACSA" "20" "333" 2.84626128839755 0.0747035762096003
"J-029_30_20" "A6" "J-029" "30" "20" "SBL" "SBL-04" "FAGR" "20" "364" 2.7600179130667 0.068784542737556
"J-047_30_20" "A2" "J-047" "30" "20" "MSH" "MSH-03" "ACSA" "30" "386" 9.71908987795139 0.137462713239034
"J-043_30_20" "B" "J-043" "30" "20" "MSH" "MSH-01" "FAGR" "20" "427" 9.3421414688898 0.120717836543221
"J-072_30_20" "A9" "J-072" "30" "20" "SBL" "SBL-04" "FAGR" "30" "333" 17.4345645171129 0.0541760966934974
"E-002_30_20" "A9" "E-002" "30" "20" "MSH" "MSH-06" "FAGR" "30" "386" 6.87175235967496 0.0670531610871731
"E-028_30_20" "A9" "E-028" "30" "20" "SBL" "SBL-04" "FAGR" "30" "333" 12.9553414505936 0.0723351373716594
"J-085_30_20" "A9" "J-085" "30" "20" "MSH" "MSH-01" "ACSA" "30" "314" 9.91818405491428 0.0601128618982139
"E-006_30_20" "A9" "E-006" "30" "20" "SBL" "SBL-03" "ACSA" "30" "307" 6.34290966143089 0.0569181767058947
"E-022_30_20" "A9" "E-022" "30" "20" "MSH" "MSH-01" "ACSA" "30" "314" 7.7474294919061 0.0514398529231725
"J-047_20_30" "A2" "J-047" "20" "30" "MSH" "MSH-03" "ACSA" "30" "386" 5.10226078024694 0.113286206271524
"J-062_20_30" "A6" "J-062" "20" "30" "MSH" "MSH-01" "FAGR" "20" "386" 1.65327063335063 0.0830911227106318
"J-043_20_30" "B" "J-043" "20" "30" "MSH" "MSH-01" "FAGR" "20" "427" 4.80780663826813 0.157819315821702
"J-057_20_30" "A9" "J-057" "20" "30" "MSH" "MSH-01" "FAGR" "30" "354" 2.76174271288855 0.13646660662136
"E-002_20_30" "A9" "E-002" "20" "30" "MSH" "MSH-06" "FAGR" "30" "386" 6.06317163784956 0.0512168482944149
"E-016_20_30" "A6" "E-016" "20" "30" "MSH" "MSH-01" "ACSA" "20" "314" 5.96271691217487 0.055983126685617
"E-028_20_30" "A9" "E-028" "20" "30" "SBL" "SBL-04" "FAGR" "30" "333" 5.87725444555304 0.0794033631294453
"E-022_20_30" "A9" "E-022" "20" "30" "MSH" "MSH-01" "ACSA" "30" "314" 4.5190018576293 0.143740117866897
"E-039_20_30" "A6" "E-039" "20" "30" "SBL" "SBL-02" "ACSA" "20" "333" 2.90312709262279 0.0757032070906652
"J-047_30_30" "A2" "J-047" "30" "30" "MSH" "MSH-03" "ACSA" "30" "386" 4.99678774720649 0.162676219014247
"J-043_30_30" "B" "J-043" "30" "30" "MSH" "MSH-01" "FAGR" "20" "427" 4.86250217818117 0.127564362599149
"J-057_30_30" "A9" "J-057" "30" "30" "MSH" "MSH-01" "FAGR" "30" "354" 0.724635119073758 0.0603667886075797
"J-085_30_30" "A9" "J-085" "30" "30" "MSH" "MSH-01" "ACSA" "30" "314" 6.00807081695079 0.0957049989113556
"E-006_30_30" "A9" "E-006" "30" "30" "SBL" "SBL-03" "ACSA" "30" "307" 4.56375470393964 0.0541081622162703
"J-008_20_20" "A9" "J-008" "20" "20" "SBL" "SBL-02" "ACSA" "30" "333" 5.42925648748908 0.0593312478399718
"J-026_20_20" "A9" "J-026" "20" "20" "SBL" "SBL-04" "FAGR" "20" "364" 3.09512855349951 0.0989215082562364
"E-005_20_20" "A9" "E-005" "20" "20" "MSH" "MSH-01" "FAGR" "30" "386" 2.86166715265073 0.0897921984048416
"E-021_20_20" "A9" "E-021" "20" "20" "SBL" "SBL-04" "FAGR" "20" "307" 5.7031751911694 0.0714044979121325
"E-035_20_20" "A9" "E-035" "20" "20" "SBL" "SBL-01" "FAGR" "30" "399" 11.1487070065961 0.0866714856012661
"J-008_30_20" "A9" "J-008" "30" "20" "SBL" "SBL-02" "ACSA" "30" "333" 9.21779371917518 0.0664728981685055
"J-026_30_20" "A9" "J-026" "30" "20" "SBL" "SBL-04" "FAGR" "20" "364" 1.94764295519157 0.148688382604946
"E-005_30_20" "A9" "E-005" "30" "20" "MSH" "MSH-01" "FAGR" "30" "386" 2.21585113072381 0.0897084654290487
"E-021_30_20" "A9" "E-021" "30" "20" "SBL" "SBL-04" "FAGR" "20" "307" 6.98351717891432 0.0925848771861604
"E-035_30_20" "A9" "E-035" "30" "20" "SBL" "SBL-01" "FAGR" "30" "399" 13.6609168756256 0.0718867984207908
"E-012_30_20" "A9" "E-012" "30" "20" "SBL" "SBL-03" "ACSA" "30" "333" 3.03839816534697 0.0544188811750125
"E-005_20_30" "A9" "E-005" "20" "30" "MSH" "MSH-01" "FAGR" "30" "386" 2.88325052094039 0.119090151244492
"E-021_20_30" "A9" "E-021" "20" "30" "SBL" "SBL-04" "FAGR" "20" "307" 2.44291819508302 0.0845311395811989
"E-035_20_30" "A9" "E-035" "20" "30" "SBL" "SBL-01" "FAGR" "30" "399" 5.82019215543634 0.109808778992263
"E-005_30_30" "A9" "E-005" "30" "30" "MSH" "MSH-01" "FAGR" "30" "386" 2.44013222617511 0.111322624096895
"E-021_30_30" "A9" "E-021" "30" "30" "SBL" "SBL-04" "FAGR" "20" "307" 3.41045089986456 0.116030817785204
"E-035_30_30" "A9" "E-035" "30" "30" "SBL" "SBL-01" "FAGR" "30" "399" 8.22041810200623 0.0958329440119983
